n,time,r
1569,334521,3951
1570,223898,3951
1571,233020,3951
1572,191594,3951
1573,503622,3951
1574,234042,3951
1575,420398,3951
1576,560852,3951
1577,198963,3951
1578,195108,3951
1579,357872,3951
1580,195439,3951
1581,404286,3951
1582,363019,3951
1583,185395,3951
1584,192405,3951
1585,519955,3951
1586,470687,3951
1587,387793,3951
1588,357412,3951
1589,229085,3951
1590,230868,3951
1591,1282343,4078
1592,223107,4078
1593,208687,4078
1594,209779,4078
1595,233541,4078
1596,283470,4078
1597,210429,4078
1598,930749,4078
1599,230036,4078
1600,242053,4078
1601,237827,4078
1602,256803,4078
1603,271663,4078
1604,505946,4078
1605,234482,4078
1606,250134,4078
1607,193255,4078
1608,190012,4078
1609,481612,4078
1610,275950,4078
1611,823292,4078
1612,257124,4078
1613,561412,4078
1614,195398,4078
1615,1031518,4078
1616,197612,4078
1617,1101916,4103
1618,479940,4103
1619,225400,4103
1620,254260,4103
1621,188178,4103
1622,308955,4103
1623,231318,4103
1624,232860,4103
1625,195399,4103
1626,1319905,4112
1627,203169,4112
1628,507178,4112
1629,530850,4112
1630,210699,4112
1631,408081,4163
1632,208146,4163
1633,685963,4163
1634,264885,4163
1635,385771,4163
1636,202578,4163
1637,242484,4163
1638,494460,4163
1639,273556,4163
1640,456177,4163
1641,196170,4163
1642,246729,4163
1643,239730,4163
1644,198723,4163
1645,232891,4163
1646,193506,4163
1647,330935,4163
1648,221645,4163
1649,195759,4163
1650,299752,4163
1651,306852,4163
1652,396425,4163
1653,186456,4163
1654,214896,4163
1655,188879,4163
1656,203620,4163
1657,231858,4163
1658,189060,4163
1659,389625,4163
1660,189190,4163
1661,194478,4163
1662,189411,4163
1663,621545,4163
1664,257444,4163
1665,240891,4163
1666,193135,4163
1667,845443,4163
1668,194638,4163
