n,time,r
1015,422071408,3349
1016,5926751,3349
1017,5885294,3349
1018,2733056529,3356
1019,98358379,3356
1020,254058237,3356
1021,42888773,3356
1022,14518466,3356
1023,11365530,3356
1024,145377682,3356
1025,11267366,3356
1026,12297212,3356
1027,2038647806,3356
1028,858270096,3415
1029,290365859,3415
1030,6320493,3415
1031,800786211,3479
1032,5959706,3479
1033,336543656,3479
1034,350111013,3479
1035,12454588,3479
1036,275159736,3479
1037,6101201,3479
1038,340205852,3479
1039,6150378,3479
1040,5852399,3479
1041,222595057,3479
1042,107092010,3479
1043,519556426,3479
1044,138836267,3479
1045,346242133,3479
1046,6290371,3479
1047,5913583,3479
1048,1098709824,3479
1049,1248186394,3479
1050,204935380,3479
1051,103190164,3479
1052,6381987,3479
1053,140674224,3479
1054,6274529,3479
1055,34483664,3479
1056,6165970,3479
1057,98126149,3479
1058,6294036,3479
1059,12047078,3479
1060,294841434,3479
1061,6353788,3479
1062,6170617,3479
1063,6082465,3479
1064,639662223,3479
1065,141568544,3479
1066,6188551,3479
1067,6397949,3479
1068,2720711913,3479
1069,6287627,3479
1070,99643176,3479
1071,4737652774,3534
1072,6279456,3534
1073,6195019,3534
1074,37083089,3534
1075,106380241,3534
1076,189034932,3534
1077,6363782,3534
1078,90976416,3534
1079,7678891,3534
1080,335397779,3534
1081,138190658,3534
1082,12737607,3534
1083,7619699,3534
1084,6175773,3534
1085,253388446,3534
1086,226677000,3534
1087,13567669,3534
1088,257334153,3534
1089,2126856986,3534
1090,5711235,3534
1091,5664600,3534
1092,83566756,3534
1093,1293019902,3534
1094,11837920,3534
1095,414624206,3534
1096,430426669,3534
1097,52836394,3534
1098,6147404,3534
1099,109065153,3534
1100,414572576,3534
1101,673620384,3534
1102,644574329,3534
1103,617695444,3534
1104,12431225,3534
1105,1681227379,3693
1106,79684918,3693
1107,6562165,3693
1108,298873349,3693
1109,126280229,3693
1110,255352606,3693
1111,16591507,3693
1112,6043181,3693
1113,5915195,3693
1114,90707266,3693
1115,2375677700,3693
1116,171534385,3693
1117,5931398,3693
1118,558601644,3693
1119,155835505,3693
1120,5992261,3693
1121,113906371,3693
1122,5806986,3693
1123,1427785600,3693
1124,5885083,3693
1125,130305925,3693
1126,109218594,3693
1127,367935628,3693
1128,5937676,3693
1129,6001714,3693
1130,6358124,3693
1131,440083150,3693
1132,1431230457,3693
1133,466311611,3693
1134,168798662,3693
1135,74376688,3693
1136,6022082,3693
1137,1198086593,3693
1138,133423362,3693
1139,106430810,3693
1140,6921499,3693
1141,526316153,3693
1142,50416766,3693
1143,11629163,3693
1144,6027519,3693
1145,645921531,3693
1146,45046631,3693
1147,132564161,3693
1148,864861201,3693
1149,39890490,3693
1150,542153483,3693
1151,6052784,3693
1152,12160254,3693
1153,655496659,3693
1154,12191576,3693
1155,6090676,3693
1156,6092789,3693
1157,803785666,3693
1158,1217987162,3693
1159,6141005,3693
1160,241428317,3693
1161,488825193,3693
1162,464611683,3693
1163,283044240,3693
1164,96247886,3693
1165,180900697,3693
1166,107729657,3693
1167,843192761,3693
1168,107922622,3693
1169,6180650,3693
1170,6170296,3693
1171,400441222,3693
1172,6390769,3693
1173,244234757,3693
1174,159309913,3693
1175,6307244,3767
1176,6144870,3767
1177,6225572,3767
1178,6180430,3767
1179,3700416653,3767
1180,6348621,3798
1181,6747449,3798
1182,12789298,3798
1183,180266273,3798
1184,1513478801,3798
1185,12124645,3798
1186,197092363,3798
1187,196380625,3798
1188,7091132,3798
1189,6380215,3798
1190,6377541,3798
1191,6434910,3798
1192,144785488,3798
1193,474305555,3798
1194,6274600,3798
1195,6478670,3798
1196,6292585,3798
1197,791280709,3798
1198,357897824,3798
1199,6351785,3834
1200,6618082,3834
1201,6432987,3834
1202,551823391,3834
1203,687334405,3834
1204,6990604,3834
1205,12851964,3834
1206,1198493223,3834
1207,137603681,3834
1208,86204794,3834
1209,100709442,3834
1210,13143105,3834
1211,511586726,3834
1212,324413133,3834
1213,6645639,3834
1214,273881549,3834
1215,82582322,3834
1216,6470439,3834
1217,342890885,3834
1218,6617991,3834
1219,12875057,3834
1220,118079851,3834
1221,6343023,3834
1222,6321584,3834
